title,image,link
搭載中文語音！《健身拳擊 feat. 初音未來》中文版確認 7 月上市,https://p2.bahamut.com.tw/S/2KU/91/a03aca354544b3c487368888e21pwmb5.JPG,//gnn.gamer.com.tw/detail.php?sn=267548
《上古世紀：戰爭》公開最初遠征隊「琪普洛莎」、「梅里薩拉」英雄形象,https://p2.bahamut.com.tw/S/2KU/62/095a56b9b38771c87391a3f5da1pwli5.JPG,//gnn.gamer.com.tw/detail.php?sn=267546
《遲早是最強的鍊金術師？》將推出電視動畫 坂田將吾、茅野愛衣、東山奈央等人參演,https://p2.bahamut.com.tw/S/2KU/95/737c20830fb818b348bc7055be1pwjn5.JPG,//gnn.gamer.com.tw/detail.php?sn=267544
跟上神秘兔子的腳步！魔幻冒險遊戲《兔子之夜》登陸 Switch 平台,https://p2.bahamut.com.tw/S/2KU/98/3f40ec59de8179752f472e84c61pwgy5.JPG,//gnn.gamer.com.tw/detail.php?sn=267539
《神魔之塔》夢魘級王者「蜜兒貓與阿飄貓」與挑戰關卡「貓咪之神降臨」將於 5/13 登場,https://p2.bahamut.com.tw/S/2KU/57/a190b2ff16bb328ce843781c911pwft5.JPG,//gnn.gamer.com.tw/detail.php?sn=267537
外媒報導 Tango Gameworks 在遭到關閉前仍計畫推出《完美音浪》續作與擴大工作室規模,https://p2.bahamut.com.tw/S/2KU/13/43f62dfef053f1332ebf23fcd11pwel5.JPG,//gnn.gamer.com.tw/detail.php?sn=267529
《募戀英雄》開發商全新音樂消除 × 寫實冒險遊戲《Break My Case》於日本推出,https://p2.bahamut.com.tw/S/2KU/42/aece7d13e9f30e132ab48668b81pwnq5.PNG,//gnn.gamer.com.tw/detail.php?sn=267555
《黑色契約 Mobile》今日上市 同步釋出副本、國戰玩法等遊戲介紹,https://p2.bahamut.com.tw/S/2KU/77/638976e461b4003f3e28084c241pwj55.JPG,//gnn.gamer.com.tw/detail.php?sn=267541
《原神》預告於 5.0 版本升級整體畫面表現和功能 部分裝置可能將受到影響降低表現,https://p2.bahamut.com.tw/S/2KU/65/18efde84f47aacaf54c51ae46a1pwit5.PNG,//gnn.gamer.com.tw/detail.php?sn=267540
《英雄聯盟》Faker 獲得 2024 品牌顧客忠誠度大賞最具影響力電競選手獎,https://p2.bahamut.com.tw/S/2KU/45/bcc4c7ec6423eaf79ec35835221pwi95.JPG,//gnn.gamer.com.tw/detail.php?sn=267538
